Date,15/6/2023
Quotation No.,RC/CMS/062023/142
Project,PT-295/4 INNOVATION HUB -PHASE 2
Currency,AED
Pages,1 of 1

To,: M/S ASEMCO
Address,: DUABI; UAE
Attention,: Mr. Ankit Bajpayee
Contact,: 971 56 539 1872
Email,:

"Dear Sir,",We thank,you for your inquiry and are pleased to submit our best price for,the,following items.,,
SL.NO,BRAND,DESCRIPTION,UNIT,QTY,PRICE,TOTAL PRICE
39,METAR,600 MM CABLE TRAY EQUAL TEE,NOS,10.00,77.08,770.80
40,METAR,450 MM CABLE TRAY EQUAL TEE,NOS,10.00,61.24,612.40
41,METAR,300 MM CABLE TRAY EQUAL TEE,NOS,10.00,34.05,340.50
42,METAR,225 MM CABLE TRAY EQUAL TEE,NOS,10.00,28.11,281.10
43,METAR,200 MM CABLE TRAY EQUAL TEE,NOS,10.00,26.13,261.30
44,METAR,150 MM CABLE TRAY EQUAL TEE,NOS,10.00,22.17,221.70
45,METAR,100 MM CABLE TRAY EQUAL TEE,NOS,10.00,18.21,182.10
46,METAR,900X900X750 MM UNEQUAL TEE,NOS,20.00,108.76,"2,175.20"
47,METAR,750X750X600 MM UNEQUAL TEE,NOS,20.00,92.92,"1,858.40"
48,METAR,600X600X450 MM UNEQUAL TEE,NOS,20.00,77.08,"1,541.60"
49,METAR,450X450X300 MM UNEQUAL TEE,NOS,20.00,61.24,"1,224.80"
50,METAR,300X300X225 MM UNEQUAL TEE,NOS,20.00,34.05,681.00
51,METAR,225X225X150 MM UNEQUAL TEE,NOS,20.00,28.11,562.20
52,METAR,150X150X100 MM UNEQUAL TEE,NOS,20.00,22.17,443.40
53,METAR,900X750 MM STRAIGHT REDUCER,NOS,10.00,81.57,815.70
54,METAR,750X600 MM STRAIGHT REDUCER,NOS,10.00,69.69,696.90
55,METAR,600X450 MM STRAIGHT REDUCER,NOS,10.00,57.81,578.10
56,METAR,450X300 MM STRAIGHT REDUCER,NOS,10.00,45.93,459.30
57,METAR,300X225 MM STRAIGHT REDUCER,NOS,10.00,25.54,255.40
58,METAR,225X150 MM STRAIGHT REDUCER,NOS,10.00,21.08,210.80
59,METAR,150X100 MM STRAIGHT REDUCER,NOS,10.00,16.63,166.30
60,METAR,900 MM INSIDE RISER,NOS,10.00,81.57,815.70
61,METAR,750 MM INSIDE RISER,NOS,10.00,69.69,696.90
62,METAR,600 MM INSIDE RISER,NOS,10.00,57.81,578.10
63,METAR,450 MM INSIDE RISER,NOS,10.00,45.93,459.30
64,METAR,300 MM INSIDE RISER,NOS,10.00,25.54,255.40
65,METAR,225 MM INSIDE RISER,NOS,10.00,21.08,210.80
66,METAR,200 MM INSIDE RISER,NOS,10.00,19.60,196.00
67,METAR,150 MM INSIDE RISER,NOS,10.00,16.63,166.30
68,METAR,100 MM INSIDE RISER,NOS,10.00,13.66,136.60
69,METAR,900 MM OUTSIDE RISER,NOS,10.00,81.57,815.70
70,METAR,750 MM OUTSIDE RISER,NOS,10.00,69.69,696.90
71,METAR,600 MM OUTSIDE RISER,NOS,10.00,57.81,578.10
72,METAR,450 MM OUTSIDE RISER,NOS,10.00,45.93,459.30
73,METAR,300 MM OUTSIDE RISER,NOS,10.00,25.54,255.40
74,METAR,225 MM OUTSIDE RISER,NOS,10.00,21.08,210.80
75,METAR,200 MM OUTSIDE RISER,NOS,10.00,19.60,196.00
76,METAR,150 MM OUTSIDE RISER,NOS,10.00,16.63,166.30
77,METAR,100 MM OUTSIDE RISER,NOS,10.00,13.66,136.60
78,METAR,75 MM OUTSIDE RISER,NOS,10.00,12.18,121.80
79,METAR,50 MM OUTSIDE RISER,NOS,10.00,10.69,106.90
